Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;1;41;23;704
1;2;23;33;451
2;3;33;25;617
3;4;25;42;654
4;5;42;38;521
5;6;38;37;705
6;7;37;9;755
7;8;9;95;722
8;9;95;96;662
9;10;96;94;501
10;11;94;93;1018
11;12;93;92;696
12;19;52;50;310
13;20;50;51;592
14;23;23;41;838
15;29;125;124;384
16;30;124;41;440
17;32;39;38;734
18;33;38;42;586
19;34;42;25;796
20;36;41;124;329
21;37;124;125;380
22;44;9;37;454
23;45;37;38;912
24;57;94;96;507
25;58;94;92;795
26;59;92;72;638
27;60;72;73;522
28;61;73;75;669
29;62;75;93;779
30;63;93;94;606
31;64;96;95;532
32;65;95;9;804
33;66;9;230;628
34;67;230;54;1218
35;68;54;53;641
36;69;53;62;646
37;70;62;20;596
38;71;20;19;612
39;72;19;18;440
40;73;18;160;766
41;74;160;18;834
42;75;18;19;470
43;76;19;20;611
44;77;20;62;502
45;78;62;53;650
46;79;53;52;379
47;80;51;37;572
48;81;42;300;747
49;82;300;31;446
50;83;31;47;1107
51;84;47;74;1576
52;85;74;70;889
53;86;70;64;964
54;87;64;66;781
55;88;66;64;781
56;89;64;70;983
57;90;70;74;883
58;91;74;47;1638
59;92;47;31;877
60;93;31;300;624
61;94;300;42;921
62;95;1;3;353
63;96;3;4;519
64;97;4;5;393
65;98;5;2;553
66;99;2;125;339
67;100;23;40;440
68;101;40;25;755
69;102;25;30;503
70;103;30;17;863
71;104;17;46;1001
72;105;46;44;633
73;106;44;43;587
74;107;43;45;438
75;108;25;40;545
76;109;40;23;462
77;110;125;2;353
78;111;2;5;525
79;112;5;4;424
80;113;4;3;488
81;114;3;1;353
82;115;45;43;470
83;116;43;44;552
84;117;44;46;687
85;118;46;17;654
86;119;17;30;1060
87;120;30;25;735
88;121;25;36;557
89;122;36;29;942
90;123;29;22;542
91;124;22;112;632
92;125;112;22;674
93;126;22;29;456
94;127;29;36;2339
95;128;36;25;750
96;129;53;54;746
97;130;54;55;329
98;131;55;23;686
99;132;23;39;861
100;133;42;30;622
101;134;17;12;1866
102;135;12;13;546
103;136;13;10;382
104;137;10;11;531
105;138;11;10;495
106;139;10;13;430
107;140;13;12;652
108;141;12;17;1862
109;142;30;42;841
110;143;46;98;1688
111;144;98;99;465
112;145;99;98;481
113;146;98;46;1686
114;147;112;114;667
115;148;114;112;698
116;149;66;63;1426
117;150;63;66;1426
118;151;38;34;532
119;152;34;28;645
120;153;28;47;1003
121;154;47;71;706
122;155;71;69;482
123;156;69;90;494
124;157;90;85;555
125;158;85;89;326
126;159;89;84;487
127;160;84;88;361
128;161;88;86;574
129;162;86;87;464
130;163;87;86;468
131;164;86;88;569
132;165;88;84;362
133;166;84;89;468
134;167;89;85;349
135;168;85;90;562
136;169;90;69;497
137;170;69;71;477
138;171;71;47;830
139;172;47;28;842
140;173;28;34;668
141;174;34;38;625
142;175;38;39;685
143;176;39;23;895
144;177;23;55;903
145;178;55;54;289
146;179;25;24;551
147;180;24;21;554
148;181;21;68;733
149;182;68;67;592
150;183;67;82;361
151;184;82;67;391
152;185;67;68;592
153;186;68;21;828
154;187;21;24;442
155;188;24;25;723
156;189;9;162;539
157;190;162;501;813
158;191;501;92;1420
159;192;92;162;865
160;193;162;9;696
161;194;75;47;1079
162;195;41;140;628
163;196;140;60;796
164;197;60;56;510
165;198;56;57;408
166;199;57;58;240
167;200;58;57;240
168;201;57;56;444
169;202;56;60;496
170;203;60;140;826
171;204;140;41;775
172;205;47;75;1116
173;206;75;73;417
174;207;73;72;388
175;208;17;16;380
176;209;16;15;674
177;210;15;164;407
178;211;164;100;610
179;212;100;101;527
180;213;101;102;497
181;214;102;110;1788
182;215;110;113;643
183;216;113;109;324
184;217;109;115;604
185;218;115;109;648
186;219;109;113;310
187;220;113;110;616
188;221;110;102;1814
189;222;102;101;490
190;223;101;100;513
191;224;100;164;626
192;225;164;15;513
193;226;15;16;576
194;227;16;17;719
195;228;112;116;563
196;229;116;49;1180
197;230;49;116;1113
198;231;116;112;591
199;232;29;23;1769
200;233;159;103;150
201;234;103;105;380
202;235;105;107;1305
203;236;107;106;596
204;237;106;104;1701
205;238;104;83;1133
206;239;83;81;974
207;240;81;22;864
208;241;22;35;514
209;242;35;41;789
210;243;17;14;1317
211;244;14;17;2103
212;245;41;35;699
213;246;35;22;490
214;247;22;68;505
215;248;82;83;642
216;249;83;104;1214
217;250;104;106;1635
218;251;106;107;608
219;252;107;105;1279
220;253;105;103;380
221;254;103;159;150
222;255;107;42;7517
223;267;51;39;683
224;271;28;96;1073
